time,value
2024-12-06T16:33:26.684770078Z,false
2024-12-06T16:33:27.302055842Z,true
2024-12-06T16:33:27.812907463Z,false
2024-12-06T16:35:49.237528682Z,false
2024-12-06T16:36:31.010063408Z,true
2024-12-06T16:36:31.321892991Z,true
2024-12-06T16:36:32.033344786Z,false
2024-12-06T16:36:32.244584785Z,false
2024-12-06T16:36:32.546129283Z,true
2024-12-06T16:36:32.861494463Z,true
2024-12-06T16:36:33.260907854Z,false
2024-12-06T16:36:33.470832311Z,false
2024-12-06T16:36:33.671185948Z,true
2024-12-06T16:36:34.183555726Z,false
2024-12-06T16:36:34.702350373Z,false
2024-12-06T16:36:34.799239758Z,true
2024-12-06T16:36:35.007075969Z,true
2024-12-06T16:36:41.659313277Z,false
2024-12-06T16:36:42.071944283Z,false
2024-12-06T16:36:42.784108743Z,true
2024-12-06T16:36:42.994164359Z,true
2024-12-06T16:48:49.221928399Z,true
2024-12-06T16:55:36.975118086Z,true
2024-12-06T17:02:11.123782539Z,true
2024-12-06T17:35:03.563106111Z,true
2024-12-06T17:35:30.286220112Z,true
2024-12-06T23:14:06.151622845Z,false
2024-12-06T23:14:06.563165999Z,true
2024-12-06T23:14:07.499384561Z,false
2024-12-06T23:14:08.029917271Z,true
2024-12-06T23:15:47.139902348Z,true
2024-12-06T23:15:59.77409339Z,false
2024-12-06T23:15:59.867154Z,false
2024-12-06T23:16:00.331450499Z,true
2024-12-06T23:16:00.523078853Z,true
2024-12-07T00:00:31.784551704Z,true
2024-12-07T00:05:21.097842698Z,true
2024-12-07T00:05:55.971532926Z,true
2024-12-07T00:14:34.379265022Z,false
2024-12-07T00:14:34.571086619Z,false
2024-12-07T09:49:59.047758795Z,false
2024-12-07T16:23:57.741928436Z,false
2024-12-08T01:33:39.996014516Z,false
2024-12-08T09:21:59.526548442Z,false
2024-12-08T15:32:40.177495805Z,false
2024-12-08T19:42:58.307407744Z,false
2024-12-08T19:45:01.802188121Z,false
2024-12-09T10:14:40.220671802Z,false
2024-12-09T10:17:40.67427135Z,false
2024-12-10T19:39:23.180121949Z,false
2024-12-11T09:44:01.165844109Z,false
2024-12-11T10:50:16.650363124Z,false
2024-12-11T12:47:05.577280564Z,false
2024-12-11T13:03:44.990857101Z,false
2024-12-11T13:04:20.114000231Z,false
2024-12-11T20:57:16.63589964Z,true
2024-12-11T20:57:17.618492195Z,false
2024-12-11T20:57:18.679737207Z,true
2024-12-11T20:57:22.517923197Z,false
2024-12-11T20:57:23.4148937Z,true
2024-12-11T20:57:29.838056307Z,false
2024-12-11T20:57:33.126087236Z,true
2024-12-11T20:57:34.750706463Z,false
2024-12-11T20:57:36.186538546Z,true
2024-12-11T21:10:41.188364268Z,true
2024-12-11T21:19:59.381566278Z,true
2024-12-11T21:22:36.955473878Z,false
2024-12-11T21:22:37.201367832Z,false
2024-12-11T21:22:44.605992629Z,true
2024-12-11T21:22:44.700730488Z,true
2024-12-11T21:22:45.599730528Z,false
2024-12-11T21:22:45.748326392Z,false
2024-12-11T21:22:46.172284967Z,true
2024-12-11T21:22:46.39953261Z,true
2024-12-11T21:22:46.962418703Z,false
2024-12-11T21:22:47.081093405Z,false
2024-12-11T21:22:47.507770867Z,true
2024-12-11T21:22:47.607492211Z,true
2024-12-11T21:22:48.223096272Z,false
2024-12-11T21:22:48.397235521Z,false
2024-12-11T21:22:48.795716372Z,true
2024-12-11T21:22:48.948889988Z,true
2024-12-11T21:22:49.489264374Z,false
2024-12-11T21:22:49.733672891Z,false
2024-12-11T21:22:50.037743923Z,true
2024-12-11T21:22:50.138262703Z,true
2024-12-11T21:22:50.700880691Z,false
2024-12-11T21:22:50.946358924Z,false
2024-12-11T21:22:51.29265615Z,true
2024-12-11T21:22:51.471808139Z,true
2024-12-11T21:22:51.975168739Z,false
2024-12-11T21:22:52.12897987Z,false
2024-12-11T21:22:52.506272212Z,true
2024-12-11T21:22:52.782483487Z,true
2024-12-11T21:22:53.570084968Z,false
2024-12-11T21:22:53.72395042Z,false
2024-12-11T21:22:54.055132274Z,true
2024-12-11T21:22:54.249536636Z,true
2024-12-11T21:22:54.80199651Z,false
2024-12-11T21:22:55.036896401Z,false
2024-12-11T21:22:55.337064657Z,true
2024-12-11T21:22:55.45769427Z,true
2024-12-11T21:22:55.869933768Z,false
2024-12-11T21:22:55.987594871Z,false
2024-12-11T21:22:56.346426348Z,true
2024-12-11T21:22:56.509603565Z,true
2024-12-11T21:22:56.923007715Z,false
2024-12-11T21:22:57.187908797Z,false
2024-12-11T21:22:57.431702067Z,true
2024-12-11T21:22:57.584421798Z,true
2024-12-11T21:22:58.089416607Z,false
2024-12-11T21:22:58.239845843Z,false
2024-12-11T21:22:58.534353286Z,true
2024-12-11T21:22:58.765954805Z,true
2024-12-11T21:22:59.807193213Z,false
2024-12-11T21:22:59.967936506Z,false
2024-12-11T21:23:00.242841091Z,true
2024-12-11T21:23:00.372142208Z,true
2024-12-11T21:23:00.845327924Z,false
2024-12-11T21:23:01.023037276Z,false
2024-12-11T21:23:01.436566422Z,true
2024-12-11T21:23:01.584049294Z,true
2024-12-11T22:45:52.943909675Z,false
2024-12-11T22:45:53.146701222Z,false
2024-12-11T22:45:53.371150123Z,true
2024-12-11T22:45:53.566329147Z,true
2024-12-11T22:45:55.890257612Z,false
2024-12-11T22:45:56.069115036Z,false
2024-12-11T22:45:58.084875718Z,true
2024-12-11T22:45:58.306002254Z,true
2024-12-11T22:45:59.072593201Z,false
2024-12-11T22:45:59.220559699Z,false
2024-12-11T22:45:59.946571322Z,true
2024-12-11T22:46:00.164702797Z,true
2024-12-11T22:46:00.80141564Z,false
2024-12-11T22:46:00.94923998Z,false
2024-12-11T22:46:01.332837668Z,true
2024-12-11T22:46:01.470163386Z,true
2024-12-11T22:46:01.872755988Z,false
2024-12-11T22:46:02.150997224Z,false
2024-12-11T22:46:02.399661679Z,true
2024-12-11T22:46:02.668558797Z,true
2024-12-11T22:46:03.056549902Z,false
2024-12-11T22:46:03.190735893Z,false
2024-12-11T22:46:03.618530785Z,true
2024-12-11T22:46:03.714318653Z,true
2024-12-11T22:46:04.208621204Z,false
2024-12-11T22:46:04.400939887Z,false
2024-12-11T22:46:08.435947427Z,true
2024-12-11T22:46:08.608426867Z,true
2024-12-11T22:46:09.067368944Z,false
2024-12-11T22:46:09.263479332Z,false
2024-12-11T22:46:09.725536037Z,true
2024-12-11T22:46:09.920232709Z,true
2024-12-11T22:46:10.377168755Z,false
2024-12-11T22:46:10.597881499Z,false
2024-12-11T22:46:11.025792925Z,true
2024-12-11T22:46:11.12194551Z,true
2024-12-11T22:46:11.720929641Z,false
2024-12-11T22:46:11.901200773Z,false
2024-12-11T22:46:12.313863032Z,true
2024-12-11T22:46:12.55530339Z,true
2024-12-11T22:46:13.077114109Z,false
2024-12-11T22:46:13.234190462Z,false
2024-12-12T10:39:12.653658688Z,false
2024-12-12T10:48:53.571526907Z,false
2024-12-12T11:03:39.336289647Z,false
2024-12-12T11:37:00.151934548Z,false
2024-12-12T11:44:05.117905263Z,false
2024-12-12T11:45:01.022240921Z,false
2024-12-12T11:54:33.603002836Z,true
2024-12-12T11:54:34.887215979Z,false
2024-12-12T11:54:35.426499433Z,true
2024-12-12T11:54:37.514459854Z,false
2024-12-12T11:54:40.223874475Z,true
2024-12-12T11:54:40.53049839Z,false
2024-12-12T11:54:41.134483277Z,true
2024-12-12T11:54:41.963976677Z,false
2024-12-12T11:57:50.670253266Z,false
2024-12-12T12:08:09.814690058Z,true
2024-12-12T12:08:11.136568608Z,false
2024-12-12T12:13:28.074754247Z,true
2024-12-12T12:29:51.904685655Z,true
2024-12-12T12:38:26.370820466Z,true
